Statistical profiling result from /Users/darksystem/Projects/FlowJS/isolate-0x7fc5ebb00000-5558-v8.log, (19393 ticks, 18300 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.1%          /Users/darksystem/.local/share/nvm/v20.15.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
    288   66.2%      JS: ^createImageBitmap file:///Users/darksystem/Projects/FlowJS/src/utils.js:6:34
    215   74.7%        JS: *_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
    215  100.0%          JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    215  100.0%            JS: ^processImmediate node:internal/timers:433:28
     72   25.0%        JS: ^_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
     67   93.1%          JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     67  100.0%            JS: ^processImmediate node:internal/timers:433:28
      5    6.9%          JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
      5  100.0%            JS: ^processImmediate node:internal/timers:433:28
    141   32.4%      JS: ^_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
    133   94.3%        JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    133  100.0%          JS: ^processImmediate node:internal/timers:433:28
      8    5.7%        JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
      7   87.5%          JS: ^processImmediate node:internal/timers:433:28
      1   12.5%          JS: ~processImmediate node:internal/timers:433:28
      6    1.4%      JS: ~_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
      6  100.0%        JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
      6  100.0%          JS: ~processImmediate node:internal/timers:433:28
    431    2.4%    JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
    418   97.0%      JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
    143   34.2%        JS: ^get node:internal/util:613:17
    143  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
    118   82.5%            Script: ~<anonymous> file:///Users/darksystem/Projects/FlowJS/node_modules/node-fetch-native/dist/index.mjs:1:1
     25   17.5%            Script: ~<anonymous> file:///Users/darksystem/Projects/FlowJS/node_modules/node-fetch-native/dist/node.mjs:1:1
     21    5.0%        JS: ~<anonymous> node:crypto:1:1
     21  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     21  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
     20    4.8%        JS: ~<anonymous> node:http2:1:1
     20  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     20  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     19    4.5%        JS: ~<anonymous> node:http:1:1
     19  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     19  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
     14    3.3%        JS: ~<anonymous> node:tls:1:1
     14  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     14  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     11    2.6%        JS: ~<anonymous> node:internal/webstreams/readablestream:1:1
     11  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     11  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     11    2.6%        JS: ~<anonymous> node:internal/streams/duplex:1:1
     11  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     11  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     11    2.6%        JS: ~<anonymous> node:internal/fs/promises:1:1
     11  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     11  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     11    2.6%        JS: ~<anonymous> node:_http_client:1:1
     11  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     11  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     10    2.4%        JS: ~<anonymous> node:tty:1:1
     10  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     10  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      9    2.2%        JS: ~requireWithFallbackInDeps node:internal/bootstrap/realm:434:35
      6   66.7%          JS: ~lib/core/util.js node:internal/deps/undici/undici:638:21
      6  100.0%            JS: ~__require node:internal/deps/undici/undici:5:49
      2   22.2%          JS: ~lib/web/fetch/file.js node:internal/deps/undici/undici:3444:26
      2  100.0%            JS: ~__require node:internal/deps/undici/undici:5:49
      1   11.1%          JS: ~lib/web/fetch/util.js node:internal/deps/undici/undici:2111:26
      1  100.0%            JS: ~__require node:internal/deps/undici/undici:5:49
      9    2.2%        JS: ~lazyWebCrypto node:crypto:125:23
      9  100.0%          JS: ~get node:crypto:370:8
      9  100.0%            Builtin: ReflectGet
      8    1.9%        JS: ~<anonymous> node:perf_hooks:1:1
      8  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      8  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      8    1.9%        JS: ~<anonymous> node:internal/streams/operators:1:1
      8  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      8  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      6    1.4%        JS: ~defaultResolve node:internal/modules/esm/loader:373:17
      6  100.0%          JS: ~resolve node:internal/modules/esm/loader:343:10
      6  100.0%            JS: ~getModuleJob node:internal/modules/esm/loader:226:21
      6    1.4%        JS: ~<anonymous> node:net:1:1
      6  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      6  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      6    1.4%        JS: ~<anonymous> node:assert:1:1
      6  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      6  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      5    1.2%        JS: ~getSource node:internal/modules/esm/load:40:25
      5  100.0%          JS: ~defaultLoad node:internal/modules/esm/load:110:27
      5  100.0%            JS: ~load node:internal/modules/esm/loader:392:13
      5    1.2%        JS: ~get node:internal/util:613:17
      5  100.0%          Builtin: ReflectGet
      5  100.0%            JS: ^getOwn node:internal/bootstrap/realm:204:16
      5    1.2%        JS: ~<anonymous> node:internal/worker:1:1
      5  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      5  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      5    1.2%        JS: ~<anonymous> node:internal/http2/core:1:1
      5  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      5  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
